                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.302,                 3.2956,                  1.337,                0.02967,                0.65926,                0.03586,                0.02264,                0.82682,                 3.2755,                  1.062,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.2115,                 3.1842,                 1.2673,                0.03333,                0.74074,                0.05932,                0.03745,                0.84116,                 3.2363,                  1.038,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.0813,                 3.0082,                 1.1478,                0.04033,                 0.8963,                0.09393,                 0.0546,                0.99775,                 3.1671,                 1.0563,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.1721,                 2.7693,                 1.1564,                0.04267,                0.94815,                0.14164,                0.07528,                 1.0735,                 3.0723,                 1.0419,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.2709,                 2.7978,                 1.1446,                  0.044,                0.97778,                0.20472,                0.12635,                0.95199,                  2.916,                0.96217,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.2008,                 2.1427,                 1.1024,                  0.044,                0.97778,                0.20472,                0.12635,                0.95199,                  2.916,                0.96217,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.2984,                 2.1182,                  1.212,                  0.044,                0.97778,                0.20472,                0.12635,                0.95199,                  2.916,                0.96217,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.2292,                 1.8274,                 1.1699,                0.04467,                0.99259,                0.54644,                0.40986,                0.88796,                 2.5933,                0.96397,             0.00067189,             0.00067189,             0.00067189
                      9,                0.99815,                 1.7333,                 1.0431,                0.04467,                0.99259,                0.54644,                0.40986,                0.88796,                 2.5933,                0.96397,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.3421,                 1.7254,                 1.1841,                0.04467,                0.99259,                0.54644,                0.40986,                0.88796,                 2.5933,                0.96397,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.1234,                 1.6777,                 1.0382,                 0.9273,                0.71111,                0.90905,                0.63999,                0.99297,                 1.8022,                 1.0263,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.1955,                 1.3632,                 1.1195,                 0.9273,                0.71111,                0.90905,                0.63999,                0.99297,                 1.8022,                 1.0263,               0.000923,               0.000923,               0.000923
                     13,                 1.1426,                 1.3602,                 1.0643,                 0.9273,                0.71111,                0.90905,                0.63999,                0.99297,                 1.8022,                 1.0263,             0.00097587,             0.00097587,             0.00097587
                     14,                 1.1084,                 1.3841,                 1.1138,                 0.9273,                0.71111,                0.90905,                0.63999,                0.99297,                 1.8022,                 1.0263,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.1244,                 1.4411,                 1.0898,                 0.9273,                0.71111,                0.90905,                0.63999,                0.99297,                 1.8022,                 1.0263,              0.0010697,              0.0010697,              0.0010697
                     16,                  1.166,                 1.2568,                 1.1096,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,              0.0011107,              0.0011107,              0.0011107
                     17,                 0.9756,                 1.0546,                  1.009,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.1482,                 1.1855,                  1.082,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,              0.0011809,              0.0011809,              0.0011809
                     19,                 1.0333,                 1.1593,                 1.0575,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,                0.00121,                0.00121,                0.00121
                     20,                 1.0044,                 1.0765,                 1.0334,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,              0.0012351,              0.0012351,              0.0012351
                     21,                 1.1178,                 1.1991,                 1.1138,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,               0.001208,               0.001208,               0.001208
                     22,                  1.161,                 1.2652,                 1.1566,                0.89298,                    0.8,                0.91641,                0.61645,                 1.0896,                 1.0861,                 1.0465,               0.001208,               0.001208,               0.001208
                     23,                 1.1192,                 1.0731,                 1.1333,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0771,                 1.1921,                 1.1023,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1383,                 1.1267,                 1.1435,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0974,                 1.0248,                 1.0856,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,              0.0010496,              0.0010496,              0.0010496
                     27,                  1.211,                 1.0668,                 1.1534,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,                0.00101,                0.00101,                0.00101
                     28,                 1.0825,                 1.2323,                  1.093,                0.88005,                0.86954,                0.93708,                0.66405,                0.97035,                0.91335,                0.99953,              0.0009704,              0.0009704,              0.0009704
                     29,                  1.101,                  1.042,                  1.073,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0292,                0.98376,                 1.0674,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0125,                 1.0382,                 1.0647,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0873,                 1.1723,                 1.1187,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,               0.000812,               0.000812,               0.000812
                     33,                 1.0348,                 1.0165,                 1.0824,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0656,                 1.0292,                 1.1272,                0.89233,                0.86667,                0.93455,                0.67972,                0.96405,                0.96816,                 1.0445,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.0183,                0.97575,                  1.038,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0053,                  1.003,                  1.016,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0006536,              0.0006536,              0.0006536
                     37,                0.98053,                 0.9814,                 1.0536,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,               0.000614,               0.000614,               0.000614
                     38,                 1.0022,                0.98938,                 1.0718,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0005744,              0.0005744,              0.0005744
                     39,                0.92487,                0.94695,                 1.0209,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0005348,              0.0005348,              0.0005348
                     40,                0.94486,                 1.0574,                 1.0851,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0004952,              0.0004952,              0.0004952
                     41,                0.94607,                   1.31,                   1.03,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0004556,              0.0004556,              0.0004556
                     42,                0.93569,                 1.1333,                 1.0173,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,               0.000416,               0.000416,               0.000416
                     43,                 1.0906,                 1.2449,                 1.1577,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0144,                 1.1731,                 1.0979,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0003368,              0.0003368,              0.0003368
                     45,                0.92381,                 1.0475,                 1.0145,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0002972,              0.0002972,              0.0002972
                     46,                0.94031,                 1.0906,                 1.0746,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0002576,              0.0002576,              0.0002576
                     47,                0.92048,                 1.0569,                 1.0485,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,               0.000218,               0.000218,               0.000218
                     48,                0.93298,                 1.0348,                 1.0284,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,              0.0001784,              0.0001784,              0.0001784
                     49,                0.90537,                  1.039,                 1.1077,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,              0.0001388,              0.0001388,              0.0001388
                     50,                0.90674,                 1.1229,                0.99096,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,               9.92e-05,               9.92e-05,               9.92e-05
